formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,gap pbe,a,alpha,beta
ReTmO3,Re,Tm,cubic,-0.811,1.948,0.802,0,4.203,90,90
ReTmO3,Re,Tm,cubic,-0.811,1.948,0.802,0,4.203,90,90
OsNpO3,Os,Np,cubic,-0.81,1.764,-0.326,0,4.301,90,90
BeTcO3,Be,Tc,cubic,-0.81,1.397,0.006,0,3.835,90,90
RuTbO3,Ru,Tb,cubic,-0.809,1.553,1.001,0,4.295,90,90
TeFeO3,Te,Fe,cubic,-0.808,0.615,0.951,0,3.888,90,90
MgPtO3,Mg,Pt,cubic,-0.805,0.818,0.06,0,3.933,90,90
PtGdO3,Pt,Gd,cubic,-0.804,1.44,0.602,0,4.353,90,90
RhCrO3,Rh,Cr,cubic,-0.803,0.905,0.867,0,3.754,90,90
RhCrO3,Rh,Cr,cubic,-0.803,0.905,0.867,0,3.754,90,90
InRhO3,In,Rh,cubic,-0.802,0.587,0.1,0,3.945,90,90
AgOsO3,Ag,Os,rhombohedral,-0.801,0.18,0.077,0,5.379,61,61
TaPrO3,Ta,Pr,cubic,-0.801,2.424,0.397,0,4.466,90,90
WCrO3,W,Cr,cubic,-0.8,1.434,1.199,0,3.799,90,90
CdNiO3,Cd,Ni,orthorhombic,-0.799,0.192,0,0,5.206,90,90
RuSmO3,Ru,Sm,cubic,-0.797,1.623,0.999,0,4.375,90,90
NbReO3,Nb,Re,cubic,-0.797,1.442,0.536,0,3.915,90,90
ZnOsO3,Zn,Os,cubic,-0.793,0.563,0.027,0,3.868,90,90
RuCrO3,Ru,Cr,cubic,-0.791,1.02,1.344,0,3.79,90,90
TcGeO3,Tc,Ge,cubic,-0.791,0.852,0.996,0,3.775,90,90
CrRhO3,Cr,Rh,cubic,-0.789,0.919,0.526,0,3.879,90,90
MoGeO3,Mo,Ge,cubic,-0.788,1.072,0.78,0,3.776,90,90
MnLiO3,Mn,Li,cubic,-0.788,1.036,0.399,0,3.573,90,90
CrIrO3,Cr,Ir,cubic,-0.788,0.931,0.652,0,3.891,90,90
CrLiO3,Cr,Li,cubic,-0.787,1.276,0.199,0,3.541,90,90
IrPbO3,Ir,Pb,rhombohedral,-0.783,0.444,0.187,0,5.802,65.7,65.7
TcMgO3,Tc,Mg,cubic,-0.782,1.417,0.596,0,3.749,90,90
OsNbO3,Os,Nb,cubic,-0.781,1.375,0.686,0,4.001,90,90
FeAgO3,Fe,Ag,orthorhombic,-0.778,0.18,0.861,0,5.105,90,90
RhBeO3,Rh,Be,cubic,-0.776,1.033,0.002,0,3.422,90,90
RhBeO3,Rh,Be,cubic,-0.776,1.033,0.002,0,3.422,90,90
RhPbO3,Rh,Pb,orthorhombic,-0.774,0.377,0,0,5.682,90,90
TeTcO3,Te,Tc,cubic,-0.772,0.638,0.238,0,3.968,90,90
BMoO3,B,Mo,cubic,-0.771,1.51,0.001,0,3.874,90,90
CrZnO3,Cr,Zn,cubic,-0.77,1.184,0.557,0,3.795,90,90
ZnRuO3,Zn,Ru,cubic,-0.768,0.651,0.159,0,3.853,90,90
IrTmO3,Ir,Tm,cubic,-0.764,1.681,0.802,0,4.215,90,90
MnCuO3,Mn,Cu,cubic,-0.764,0.628,0.883,0,3.696,90,90
RuPmO3,Ru,Pm,cubic,-0.764,1.644,0.999,0,4.396,90,90
InIrO3,In,Ir,cubic,-0.763,0.638,0.055,0,3.956,90,90
OsLuO3,Os,Lu,cubic,-0.762,1.741,1.008,0,4.165,90,90
AsTcO3,As,Tc,cubic,-0.761,0.751,0.361,0,3.902,90,90
BVO3,B,V,cubic,-0.76,1.928,-0.001,0,3.716,90,90
TaGeO3,Ta,Ge,cubic,-0.758,1.717,0.533,0,3.798,90,90
SbRuO3,Sb,Ru,cubic,-0.758,0.613,0.188,0,3.941,90,90
RbPtO3,Rb,Pt,tetragonal,-0.757,0.275,0.199,0,3.911,90,90
ReErO3,Re,Er,cubic,-0.757,1.96,0.802,0,4.23,90,90
TcSnO3,Tc,Sn,cubic,-0.756,0.927,1,0.571,4.033,90,90
AgRuO3,Ag,Ru,rhombohedral,-0.754,0.112,0.1,0,5.375,60.7,60.7
CoAsO3,Co,As,cubic,-0.753,0.652,0.551,0,3.769,90,90
VRhO3,V,Rh,cubic,-0.75,1.064,0.338,0,3.878,90,90
PtNaO3,Pt,Na,rhombohedral,-0.749,0.356,0.2,0,5.798,60,60
GeOsO3,Ge,Os,cubic,-0.749,0.733,0.208,0,3.91,90,90
NiReO3,Ni,Re,cubic,-0.747,0.775,0.195,0,3.847,90,90
AsFeO3,As,Fe,cubic,-0.747,0.805,0.911,0,3.798,90,90
TcGaO3,Tc,Ga,cubic,-0.745,1.07,0.8,0,3.79,90,90
NdRbO3,Nd,Rb,cubic,-0.738,1.64,-0.005,0,4.356,90,90
PdMnO3,Pd,Mn,cubic,-0.738,0.572,0.2,0,3.771,90,90
WGdO3,W,Gd,cubic,-0.735,2.244,0.598,0,4.308,90,90
IrTlO3,Ir,Tl,rhombohedral,-0.731,0.253,0.4,0.544,5.943,70.1,70.1
GeCoO3,Ge,Co,cubic,-0.73,0.961,0.532,0,3.713,90,90
TaZnO3,Ta,Zn,cubic,-0.727,1.803,0.218,0,3.764,90,90
ScHgO3,Sc,Hg,cubic,-0.725,1.361,0.017,0,4.147,90,90
CsPtO3,Cs,Pt,tetragonal,-0.724,0.278,0.174,0,3.909,90,90
FeOsO3,Fe,Os,cubic,-0.719,0.629,0.64,0,3.854,90,90
IrErO3,Ir,Er,cubic,-0.717,1.711,0.806,0,4.239,90,90
ReHoO3,Re,Ho,cubic,-0.716,2.022,0.797,0,4.25,90,90
HgOsO3,Hg,Os,rhombohedral,-0.716,0.265,0.002,0,5.41,62,62
ReVO3,Re,V,cubic,-0.713,1.371,1.199,0,3.831,90,90
ReVO3,Re,V,cubic,-0.713,1.371,1.199,0,3.831,90,90
PtTbO3,Pt,Tb,cubic,-0.712,1.416,0.602,0,4.333,90,90
TaCeO3,Ta,Ce,cubic,-0.711,2.478,0.396,0,4.507,90,90
OsSiO3,Os,Si,cubic,-0.71,1.483,0.812,0,3.611,90,90
RuNdO3,Ru,Nd,cubic,-0.707,1.674,1,0,4.435,90,90
BeFeO3,Be,Fe,cubic,-0.705,1.307,0.8,0,3.668,90,90
PtSmO3,Pt,Sm,cubic,-0.705,1.493,0.599,0,4.403,90,90
RhReO3,Rh,Re,cubic,-0.703,0.817,0.37,0,3.872,90,90
TlPtO3,Tl,Pt,orthorhombic,-0.702,0.226,-0.001,0,5.531,90,90
NaNiO3,Na,Ni,orthorhombic,-0.701,0.425,0.6,0,5.376,90,90
PmRbO3,Pm,Rb,cubic,-0.7,1.707,-0.004,0,4.347,90,90
OsTmO3,Os,Tm,cubic,-0.697,1.792,1.01,0,4.207,90,90
PtCrO3,Pt,Cr,cubic,-0.692,0.897,0.003,0,3.781,90,90
RhGeO3,Rh,Ge,cubic,-0.686,0.758,0.597,0,3.73,90,90
RhGeO3,Rh,Ge,cubic,-0.686,0.758,0.597,0,3.73,90,90
BiIrO3,Bi,Ir,cubic,-0.685,0.557,0,0,3.995,90,90
GaIrO3,Ga,Ir,cubic,-0.682,0.848,0.121,0,3.912,90,90
IrHoO3,Ir,Ho,cubic,-0.682,1.735,0.804,0,4.259,90,90
TiPdO3,Ti,Pd,cubic,-0.68,1.526,0.223,0,3.897,90,90
MoFeO3,Mo,Fe,cubic,-0.677,1.263,1.6,0,3.792,90,90
PdOsO3,Pd,Os,orthorhombic,-0.676,0.305,0.002,0,5.251,90,90
PtPmO3,Pt,Pm,cubic,-0.676,1.511,0.605,0,4.422,90,90
ReDyO3,Re,Dy,cubic,-0.674,2.02,0.797,0,4.273,90,90
VIrO3,V,Ir,cubic,-0.674,1.148,0.415,0,3.901,90,90
NbSbO3,Nb,Sb,cubic,-0.672,1.584,0.647,0,4.093,90,90
HfPtO3,Hf,Pt,cubic,-0.671,1.87,0.008,0,3.987,90,90
NbAsO3,Nb,As,cubic,-0.668,1.556,0.54,0,3.905,90,90
AlRhO3,Al,Rh,cubic,-0.666,1.433,0.082,0,3.872,90,90
CrCuO3,Cr,Cu,cubic,-0.663,0.935,0.628,0,3.684,90,90
ErKO3,Er,K,cubic,-0.661,1.874,-0.024,0,4.145,90,90
WTbO3,W,Tb,cubic,-0.659,2.1,0.599,0,4.28,90,90
ZnCoO3,Zn,Co,cubic,-0.659,0.627,0.501,0,3.665,90,90
RuAgO3,Ru,Ag,orthorhombic,-0.656,0.209,-0.001,0,5.27,90,90
EuRbO3,Eu,Rb,cubic,-0.656,1.339,0,0,4.28,90,90
LiPtO3,Li,Pt,cubic,-0.654,0.502,0.321,0,3.917,90,90
FeTeO3,Fe,Te,cubic,-0.652,0.771,0.675,0,4.076,90,90
FeCoO3,Fe,Co,cubic,-0.651,0.812,1.224,0,3.595,90,90
GaRhO3,Ga,Rh,cubic,-0.65,0.867,0.134,0,3.891,90,90
CuFeO3,Cu,Fe,cubic,-0.649,0.508,0.959,0,3.717,90,90
ReYO3,Re,Y,cubic,-0.649,2.024,0.799,0,4.284,90,90
ReYO3,Re,Y,cubic,-0.649,2.024,0.799,0,4.284,90,90
EuKO3,Eu,K,cubic,-0.646,1.362,-0.141,0,4.234,90,90
OsErO3,Os,Er,cubic,-0.646,1.825,1.014,0,4.231,90,90
IrDyO3,Ir,Dy,cubic,-0.644,1.76,0.805,0,4.28,90,90
NbRuO3,Nb,Ru,cubic,-0.644,1.528,0.231,0,3.874,90,90
SnPtO3,Sn,Pt,cubic,-0.644,0.764,0.002,0,4.018,90,90
PtLaO3,Pt,La,cubic,-0.641,1.564,0.303,0,4.473,90,90
RhMnO3,Rh,Mn,cubic,-0.637,0.851,1.333,0,3.763,90,90
RuGeO3,Ru,Ge,cubic,-0.637,0.876,0.803,0,3.745,90,90
RhMnO3,Rh,Mn,cubic,-0.637,0.851,1.333,0,3.763,90,90
Tc2O3,Tc,Tc,cubic,-0.634,0.897,0.802,0,3.901,90,90
KNiO3,K,Ni,cubic,-0.634,0.512,0.704,0,3.9,90,90
AlIrO3,Al,Ir,cubic,-0.63,1.482,0.046,0,3.901,90,90
RuMnO3,Ru,Mn,cubic,-0.63,0.97,1.577,0,3.772,90,90
SbOsO3,Sb,Os,cubic,-0.628,0.711,0.193,0,3.963,90,90
HgRhO3,Hg,Rh,rhombohedral,-0.628,0.176,0.2,0,5.43,61.4,61.4
TaSnO3,Ta,Sn,cubic,-0.628,1.903,0.578,0,4.033,90,90
TeCoO3,Te,Co,cubic,-0.626,0.652,-0.009,0,3.746,90,90
MoTcO3,Mo,Tc,cubic,-0.626,1.177,0.83,0,3.902,90,90
PtPbO3,Pt,Pb,rhombohedral,-0.623,0.386,0,0,5.888,63.2,63.2
PtNdO3,Pt,Nd,cubic,-0.623,1.622,0.606,0,4.456,90,90
AuMnO3,Au,Mn,cubic,-0.62,0.529,0.399,0,3.815,90,90
IrYO3,Ir,Y,cubic,-0.617,1.766,0.804,0,4.292,90,90
MnPtO3,Mn,Pt,cubic,-0.617,0.766,0.944,0,3.938,90,90
HfBiO3,Hf,Bi,cubic,-0.616,2.179,0.305,0,4.312,90,90
MnPdO3,Mn,Pd,cubic,-0.613,0.697,0.907,0,3.907,90,90
RhSnO3,Rh,Sn,cubic,-0.612,0.872,0.6,0,4.012,90,90
TcReO3,Tc,Re,cubic,-0.612,0.923,0.833,0,3.914,90,90
OsAgO3,Os,Ag,orthorhombic,-0.609,0.372,0,0,5.268,90,90
OsHoO3,Os,Ho,cubic,-0.608,1.852,1.016,0,4.252,90,90
NiSbO3,Ni,Sb,cubic,-0.607,0.916,0.235,0,3.935,90,90
TaTcO3,Ta,Tc,cubic,-0.606,1.84,0.146,0,3.884,90,90
GeRhO3,Ge,Rh,cubic,-0.605,0.839,0.049,0,3.9,90,90
AuRuO3,Au,Ru,orthorhombic,-0.598,0.255,-0.014,0,5.541,90,90
SiRuO3,Si,Ru,cubic,-0.598,1.626,0.307,0,3.878,90,90
TcBO3,Tc,B,cubic,-0.597,1.48,0.665,0,3.397,90,90
MoReO3,Mo,Re,cubic,-0.597,1.208,0.862,0,3.914,90,90
BiPtO3,Bi,Pt,cubic,-0.595,0.536,0,0,4.049,90,90
WSmO3,W,Sm,cubic,-0.595,2.235,0.599,0,4.374,90,90
HfTeO3,Hf,Te,cubic,-0.593,2.1,0.346,0,4.198,90,90
AgIrO3,Ag,Ir,rhombohedral,-0.591,0.154,0.007,0,5.367,61.6,61.6
AsCoO3,As,Co,cubic,-0.584,0.82,-0.004,0,3.659,90,90
ReGdO3,Re,Gd,cubic,-0.583,2.131,0.905,0,4.318,90,90
NiMnO3,Ni,Mn,cubic,-0.583,1.013,1.014,0,3.625,90,90
OsBeO3,Os,Be,cubic,-0.582,1.302,0.012,0,3.408,90,90
RuGaO3,Ru,Ga,cubic,-0.58,1.04,0.999,0,3.805,90,90
PtPrO3,Pt,Pr,cubic,-0.578,1.558,0.605,0,4.49,90,90
BScO3,B,Sc,cubic,-0.576,2.697,-0.001,0,4.058,90,90
GaNiO3,Ga,Ni,cubic,-0.575,0.994,0.149,0,3.651,90,90
ReCrO3,Re,Cr,cubic,-0.575,1.434,1.399,0,3.807,90,90
IrBeO3,Ir,Be,cubic,-0.574,1.251,0.004,0,3.431,90,90
BLuO3,B,Lu,cubic,-0.574,2.831,0.001,0,4.229,90,90
TcFeO3,Tc,Fe,cubic,-0.574,1.054,1.795,0,3.807,90,90
InPtO3,In,Pt,cubic,-0.571,0.699,0.001,0,3.994,90,90
TeNiO3,Te,Ni,cubic,-0.568,0.75,0.3,0,3.773,90,90
OsDyO3,Os,Dy,cubic,-0.568,1.88,1.02,0,4.274,90,90
RhGaO3,Rh,Ga,cubic,-0.567,0.951,0.802,0,3.807,90,90
WMnO3,W,Mn,cubic,-0.567,1.642,1.4,0,3.803,90,90
RhGaO3,Rh,Ga,cubic,-0.567,0.951,0.802,0,3.807,90,90
GeIrO3,Ge,Ir,cubic,-0.566,0.886,0.009,0,3.918,90,90
RuSnO3,Ru,Sn,cubic,-0.564,0.988,0.8,0,4.016,90,90
RuReO3,Ru,Re,cubic,-0.559,0.962,0.611,0,3.889,90,90
OsVO3,Os,V,cubic,-0.556,1.294,0.978,0,3.794,90,90
MoCoO3,Mo,Co,cubic,-0.555,1.258,0.59,0,3.658,90,90
PtBeO3,Pt,Be,cubic,-0.554,1.077,0.001,0,3.469,90,90
RhSbO3,Rh,Sb,cubic,-0.553,0.75,0.449,0,3.982,90,90
PtReO3,Pt,Re,cubic,-0.552,0.968,0.047,0,3.882,90,90
RbNiO3,Rb,Ni,cubic,-0.548,0.585,0.755,0,3.996,90,90
IrMoO3,Ir,Mo,cubic,-0.548,1.182,0.431,0,3.909,90,90
WPmO3,W,Pm,cubic,-0.547,2.271,0.6,0,4.398,90,90
OsYO3,Os,Y,cubic,-0.541,1.886,1.011,0,4.282,90,90
BTmO3,B,Tm,cubic,-0.539,2.738,0.002,0,4.264,90,90
SiOsO3,Si,Os,cubic,-0.537,1.656,0.2,0,3.893,90,90
CrPdO3,Cr,Pd,cubic,-0.537,0.989,0.63,0,3.926,90,90
ZnIrO3,Zn,Ir,cubic,-0.536,0.762,0.037,0,3.879,90,90
SiCoO3,Si,Co,cubic,-0.536,1.832,0.356,0,3.665,90,90
ZrAuO3,Zr,Au,cubic,-0.533,1.741,0.164,0,4.07,90,90
W2O3,W,W,cubic,-0.532,1.427,0.835,0,3.946,90,90
SbIrO3,Sb,Ir,cubic,-0.531,0.779,0,0,3.968,90,90
NbRhO3,Nb,Rh,cubic,-0.531,1.607,0.331,0,3.885,90,90
TcSbO3,Tc,Sb,cubic,-0.53,1.025,0.941,0,4.072,90,90
PtCeO3,Pt,Ce,cubic,-0.525,1.584,0.607,0,4.53,90,90
GeNiO3,Ge,Ni,cubic,-0.525,1.172,0.218,0,3.701,90,90
TiPtO3,Ti,Pt,cubic,-0.525,1.657,0.018,0,3.941,90,90
TeRuO3,Te,Ru,cubic,-0.524,0.662,0.039,0,3.947,90,90
WBO3,W,B,cubic,-0.52,1.771,0.464,0,3.401,90,90
RhMgO3,Rh,Mg,cubic,-0.519,1.282,0.001,0,3.74,90,90
ZnRhO3,Zn,Rh,cubic,-0.519,0.763,0.258,0,3.868,90,90
RhMgO3,Rh,Mg,cubic,-0.519,1.282,0.001,0,3.74,90,90
FeNiO3,Fe,Ni,cubic,-0.519,0.815,1.133,0,3.623,90,90
MoSbO3,Mo,Sb,cubic,-0.517,1.303,0.893,0,4.063,90,90
RuMgO3,Ru,Mg,cubic,-0.517,1.421,0.572,0,3.753,90,90
CrPtO3,Cr,Pt,cubic,-0.512,1.077,0.677,0,3.94,90,90
BErO3,B,Er,cubic,-0.51,2.833,-0.006,0,4.291,90,90
PdFeO3,Pd,Fe,cubic,-0.509,0.576,0.4,0,3.768,90,90
ReMgO3,Re,Mg,cubic,-0.505,1.698,0.567,0,3.713,90,90
TaReO3,Ta,Re,cubic,-0.503,1.945,0.403,0,3.911,90,90
NiGaO3,Ni,Ga,cubic,-0.499,1.07,0.61,0,3.783,90,90
ReTbO3,Re,Tb,cubic,-0.497,2.052,0.879,0,4.295,90,90
WMoO3,W,Mo,cubic,-0.494,1.463,0.798,0,3.939,90,90
PtTcO3,Pt,Tc,cubic,-0.491,0.779,-0.008,0,3.871,90,90
NbOsO3,Nb,Os,cubic,-0.491,1.666,0.306,0,3.9,90,90
ReWO3,Re,W,cubic,-0.49,1.467,0.935,0,3.944,90,90
BHoO3,B,Ho,cubic,-0.484,2.84,0.001,0,4.3,90,90
ZnNiO3,Zn,Ni,cubic,-0.484,0.673,-0.004,0,3.662,90,90
OsGdO3,Os,Gd,cubic,-0.48,1.96,1.024,0,4.322,90,90
IrCrO3,Ir,Cr,cubic,-0.477,1.243,0.527,0,3.79,90,90
NiBO3,Ni,B,cubic,-0.476,1.373,0.6,0,3.355,90,90
ReSmO3,Re,Sm,cubic,-0.476,2.211,0.801,0,4.367,90,90
IrTbO3,Ir,Tb,cubic,-0.473,1.786,0.807,0,4.301,90,90
MoNiO3,Mo,Ni,cubic,-0.471,1.335,0.8,0,3.677,90,90
WNdO3,W,Nd,cubic,-0.471,2.453,0.599,0,4.434,90,90
BDyO3,B,Dy,cubic,-0.467,2.895,-0.007,0,4.322,90,90
VPtO3,V,Pt,cubic,-0.467,1.271,0.514,0,3.946,90,90
PtGeO3,Pt,Ge,cubic,-0.466,0.904,0.402,0,3.749,90,90
WLaO3,W,La,cubic,-0.466,2.458,0.6,0,4.469,90,90
BReO3,B,Re,cubic,-0.466,1.614,0,0,3.844,90,90
AsRuO3,As,Ru,cubic,-0.462,0.831,0.248,0,3.885,90,90
IrSmO3,Ir,Sm,cubic,-0.457,1.873,0.809,0,4.38,90,90
FeRhO3,Fe,Rh,cubic,-0.455,0.837,1.044,0,3.859,90,90
PdRuO3,Pd,Ru,cubic,-0.455,0.564,-0.013,0,3.847,90,90
BeOsO3,Be,Os,cubic,-0.453,1.43,0.119,0,3.84,90,90
AuOsO3,Au,Os,cubic,-0.451,0.53,0,0,3.892,90,90
AsNiO3,As,Ni,cubic,-0.451,0.973,0.203,0,3.675,90,90
RhBO3,Rh,B,cubic,-0.449,1.329,0.012,0,3.367,90,90
RhBO3,Rh,B,cubic,-0.449,1.329,0.012,0,3.367,90,90
RhFeO3,Rh,Fe,cubic,-0.448,0.844,1.522,0,3.776,90,90
ReMoO3,Re,Mo,cubic,-0.446,1.359,0.957,0,3.948,90,90
RuBO3,Ru,B,cubic,-0.446,1.435,0.048,0,3.356,90,90
BeRuO3,Be,Ru,cubic,-0.442,1.505,0.393,0,3.828,90,90
PtMnO3,Pt,Mn,cubic,-0.436,0.947,1.137,0,3.787,90,90
RuFeO3,Ru,Fe,cubic,-0.434,0.967,1.763,0,3.79,90,90
RePmO3,Re,Pm,cubic,-0.434,2.173,0.942,0,4.391,90,90
BYO3,B,Y,cubic,-0.431,2.936,0,0,4.346,90,90
NiAsO3,Ni,As,cubic,-0.43,0.995,0.288,0,3.714,90,90
OsWO3,Os,W,cubic,-0.429,1.528,0.656,0,3.926,90,90
TcAsO3,Tc,As,cubic,-0.427,1.085,1.004,0,3.884,90,90
HgNiO3,Hg,Ni,orthorhombic,-0.426,0.252,0.41,0,5.384,90,90
ReLaO3,Re,La,cubic,-0.425,2.307,0.794,0,4.455,90,90
IrPmO3,Ir,Pm,cubic,-0.423,1.894,0.811,0,4.401,90,90
BGdO3,B,Gd,cubic,-0.42,2.871,-0.009,0,4.364,90,90
AlPtO3,Al,Pt,cubic,-0.417,1.564,0,0,3.945,90,90
BAcO3,B,Ac,cubic,-0.416,2.685,0,0,4.488,90,90
AsOsO3,As,Os,cubic,-0.414,0.832,0.288,0,3.901,90,90
SbPtO3,Sb,Pt,cubic,-0.414,0.815,0,0,4.023,90,90
BSmO3,B,Sm,cubic,-0.41,2.913,-0.397,0,4.436,90,90
GaPtO3,Ga,Pt,cubic,-0.409,0.99,0,0,3.953,90,90
TeRhO3,Te,Rh,cubic,-0.408,0.683,0,0,3.953,90,90
RuSbO3,Ru,Sb,cubic,-0.406,0.965,0.682,0,4.013,90,90
TaRuO3,Ta,Ru,cubic,-0.406,1.975,0.188,0,3.865,90,90
TcAgO3,Tc,Ag,tetragonal,-0.402,0.911,0,0,3.33,90,90
BeCoO3,Be,Co,cubic,-0.402,1.411,0.465,0,3.594,90,90
OsCrO3,Os,Cr,cubic,-0.401,1.363,1.465,0,3.809,90,90
MoAsO3,Mo,As,cubic,-0.399,1.375,0.793,0,3.881,90,90
BLaO3,B,La,cubic,-0.399,2.958,0.001,0,4.352,90,90
AuFeO3,Au,Fe,cubic,-0.396,0.569,0.6,0,3.809,90,90
WPuO3,W,Pu,cubic,-0.394,2.402,0.739,0,4.305,90,90
OsTbO3,Os,Tb,cubic,-0.393,1.909,1.022,0,4.296,90,90
NbTeO3,Nb,Te,cubic,-0.39,1.791,0.622,0,4.173,90,90
SiRhO3,Si,Rh,cubic,-0.39,1.765,0.012,0,3.878,90,90
IrLaO3,Ir,La,cubic,-0.39,1.95,0.811,0,4.464,90,90
CuIrO3,Cu,Ir,cubic,-0.389,0.572,0.248,0,3.853,90,90
PtGaO3,Pt,Ga,cubic,-0.389,1.01,0.592,0,3.812,90,90
CuCoO3,Cu,Co,cubic,-0.389,0.56,0.75,0,3.665,90,90
PtSbO3,Pt,Sb,cubic,-0.386,0.842,0.246,0,3.98,90,90
ReNdO3,Re,Nd,cubic,-0.384,2.204,0.801,0,4.425,90,90
PtMgO3,Pt,Mg,cubic,-0.384,1.239,0.292,0,3.785,90,90
TaAsO3,Ta,As,cubic,-0.383,2.049,0.513,0,3.917,90,90
Co2O3,Co,Co,cubic,-0.378,0.876,-0.091,0,3.653,90,90
AgNiO3,Ag,Ni,orthorhombic,-0.377,0.232,0.006,0,5.118,90,90
NiAgO3,Ni,Ag,orthorhombic,-0.372,0.237,0.38,0,5.122,90,90
SiNiO3,Si,Ni,cubic,-0.37,1.994,0.157,0,3.639,90,90
TcCoO3,Tc,Co,cubic,-0.368,1.15,0.751,0,3.667,90,90
HfAuO3,Hf,Au,cubic,-0.368,2.029,0.053,0,4.064,90,90
NbBiO3,Nb,Bi,cubic,-0.367,1.888,0.598,0,4.282,90,90
IrNdO3,Ir,Nd,cubic,-0.365,1.924,0.815,0,4.435,90,90
GePtO3,Ge,Pt,cubic,-0.365,1.005,0.001,0,3.962,90,90
ReGaO3,Re,Ga,cubic,-0.364,1.455,0.799,0,3.787,90,90
ReMnO3,Re,Mn,cubic,-0.362,1.478,1.598,0,3.809,90,90
OsMoO3,Os,Mo,cubic,-0.36,1.371,0.687,0,3.922,90,90
WGeO3,W,Ge,cubic,-0.359,1.598,0.762,0,3.787,90,90
NbIrO3,Nb,Ir,cubic,-0.359,1.782,0.375,0,3.915,90,90
CoNiO3,Co,Ni,cubic,-0.355,0.768,0.805,0,3.644,90,90
WFeO3,W,Fe,cubic,-0.35,1.651,1.592,0,3.808,90,90
SiIrO3,Si,Ir,cubic,-0.35,1.813,0.007,0,3.9,90,90
LuRbO3,Lu,Rb,cubic,-0.349,2.201,0.012,0,4.317,90,90
NbPdO3,Nb,Pd,cubic,-0.342,1.77,0.37,0,3.926,90,90
RhAsO3,Rh,As,cubic,-0.341,0.852,0.523,0,3.792,90,90
RhAsO3,Rh,As,cubic,-0.341,0.852,0.523,0,3.792,90,90
TaSbO3,Ta,Sb,cubic,-0.34,2.114,0.626,0,4.103,90,90
MoRuO3,Mo,Ru,cubic,-0.339,1.392,0.477,0,3.888,90,90
BPmO3,B,Pm,cubic,-0.334,2.815,-0.008,0,4.424,90,90
RePrO3,Re,Pr,cubic,-0.332,2.269,0.796,0,4.457,90,90
WCeO3,W,Ce,cubic,-0.331,2.484,0.601,0,4.508,90,90
NiHgO3,Ni,Hg,orthorhombic,-0.329,0.35,0.237,0,5.311,90,90
CrCdO3,Cr,Cd,cubic,-0.327,1.495,0.656,0,4.088,90,90
OsPmO3,Os,Pm,cubic,-0.326,2.035,1.047,0,4.403,90,90
MnAuO3,Mn,Au,cubic,-0.323,0.827,0.995,0,4.012,90,90
ReAcO3,Re,Ac,cubic,-0.321,2.237,1.05,0,4.578,90,90
TeIrO3,Te,Ir,cubic,-0.313,0.786,-0.001,0,3.976,90,90
BTbO3,B,Tb,cubic,-0.313,2.836,-0.01,0,4.343,90,90
TaRhO3,Ta,Rh,cubic,-0.31,2.037,0.304,0,3.878,90,90
AsRhO3,As,Rh,cubic,-0.309,0.884,0.001,0,3.887,90,90
CuRhO3,Cu,Rh,cubic,-0.302,0.643,0.453,0,3.851,90,90
IrMgO3,Ir,Mg,cubic,-0.299,1.518,0.005,0,3.724,90,90
BNdO3,B,Nd,cubic,-0.297,3.001,-0.001,0,4.429,90,90
TcRuO3,Tc,Ru,cubic,-0.296,1.104,1.01,0,3.899,90,90
BPrO3,B,Pr,cubic,-0.294,2.992,-0.407,0,4.45,90,90
RhOsO3,Rh,Os,cubic,-0.29,0.718,0.33,0,3.864,90,90
WCoO3,W,Co,cubic,-0.281,1.676,0.363,0,3.648,90,90
TiAuO3,Ti,Au,cubic,-0.278,1.761,0.288,0,4.025,90,90
OsLaO3,Os,La,cubic,-0.277,2.187,1.078,0,4.473,90,90
NiWO3,Ni,W,cubic,-0.276,1.681,-0.224,0,4.458,90,90
ZnPtO3,Zn,Pt,cubic,-0.273,0.831,0.087,0,3.926,90,90
ReCeO3,Re,Ce,cubic,-0.273,2.256,0.796,0,4.494,90,90
RhRuO3,Rh,Ru,cubic,-0.271,0.801,0.312,0,3.853,90,90
IrMnO3,Ir,Mn,cubic,-0.268,1.231,1.378,0,3.784,90,90
ReGeO3,Re,Ge,cubic,-0.265,1.381,0.982,0,3.797,90,90
TcOsO3,Tc,Os,cubic,-0.263,1.106,0.67,0,3.909,90,90
OsNdO3,Os,Nd,cubic,-0.262,2.118,1.049,0,4.438,90,90
IrGeO3,Ir,Ge,cubic,-0.26,1.193,0.608,0,3.75,90,90
RuAsO3,Ru,As,cubic,-0.26,1.033,0.763,0,3.833,90,90
IrCeO3,Ir,Ce,cubic,-0.255,1.984,0.819,0,4.511,90,90
MoOsO3,Mo,Os,cubic,-0.247,1.483,0.609,0,3.911,90,90
PtFeO3,Pt,Fe,cubic,-0.244,0.928,1.357,0,3.802,90,90
AsIrO3,As,Ir,cubic,-0.244,0.958,-0.028,0,3.907,90,90
BCeO3,B,Ce,cubic,-0.244,3.029,0.001,0,4.537,90,90
TcTeO3,Tc,Te,cubic,-0.242,1.168,0.956,0,4.165,90,90
CoCuO3,Co,Cu,cubic,-0.237,0.712,0.721,0,3.671,90,90
BeNiO3,Be,Ni,cubic,-0.235,1.448,0.007,0,3.594,90,90
