formula,atom a,atom b,lowest distortion,e_form,mu_b,vpa,gap pbe,a,alpha,beta,gamma,e_form oxygen
GdBaO3,Gd,Ba,orthorhombic,-2.809,0.201,18.822,0.619,6.507,90,90,90,-6.988
LuHoO3,Lu,Ho,cubic,-2.808,0,15.148,0.884,4.231,90,90,90,-0.008
LuFeO3,Lu,Fe,orthorhombic,-2.808,1,10.832,1.263,5.197,90,90,90,2.726
ErBeO3,Er,Be,tetragonal,-2.807,0.035,9.389,0,3.287,90,90,90,-1.1
VEuO3,V,Eu,rhombohedral,-2.807,0.2,15.081,1.985,6.269,54.3,54.3,54.3,-8.901
GaLaO3,Ga,La,rhombohedral,-2.807,0,15.84,3.337,6.404,53.7,53.7,53.7,-4.204
SrCeO3,Sr,Ce,orthorhombic,-2.806,0.2,17.32,0,6.143,90,90,90,-0.685
PaBeO3,Pa,Be,orthorhombic,-2.806,0.2,9.587,1.713,5.085,90,90,90,4.249
TmFeO3,Tm,Fe,orthorhombic,-2.805,1,10.985,1.235,5.229,90,90,90,2.865
MgSmO3,Mg,Sm,orthorhombic,-2.805,0.201,13.55,0.726,5.593,90,90,90,-3.053
NaThO3,Na,Th,orthorhombic,-2.805,0.2,15.727,0,5.963,90,90,90,-0.084
BePrO3,Be,Pr,orthorhombic,-2.803,0,11.293,0,4.795,90,90,90,-6.027
MnPuO3,Mn,Pu,orthorhombic,-2.802,1.8,13.402,1.643,5.625,90,90,90,1.11
TbDyO3,Tb,Dy,cubic,-2.802,0,15.489,1.746,4.263,90,90,90,1.148
YThO3,Y,Th,cubic,-2.801,0.152,18.885,0,4.554,90,90,90,2.387
TaSrO3,Ta,Sr,orthorhombic,-2.801,0,15.651,0.31,5.577,90,90,90,-17.169
BaVO3,Ba,V,orthorhombic,-2.801,0.2,12.693,0,5.583,90,90,90,3.522
EuCrO3,Eu,Cr,orthorhombic,-2.8,0.4,10.803,0.605,5.334,90,90,90,2.113
DyBeO3,Dy,Be,tetragonal,-2.799,0.042,9.515,0,3.311,90,90,90,-0.941
CrSmO3,Cr,Sm,rhombohedral,-2.799,0.6,14.555,1.635,6.143,55.2,55.2,55.2,-5.258
GaPuO3,Ga,Pu,orthorhombic,-2.799,1,15.101,1.347,5.363,90,90,90,0.763
YGdO3,Y,Gd,cubic,-2.798,0,16.091,1.371,4.317,90,90,90,0.203
EuWO3,Eu,W,orthorhombic,-2.797,0,12.094,0,5.503,90,90,90,4.772
PmSmO3,Pm,Sm,cubic,-2.797,0,16.975,1.365,4.395,90,90,90,3.393
NdPuO3,Nd,Pu,cubic,-2.796,0.93,16.916,0,4.39,90,90,90,2.71
YbHoO3,Yb,Ho,cubic,-2.792,0.2,15.159,0,4.232,90,90,90,-1.429
TaBaO3,Ta,Ba,orthorhombic,-2.791,-0.001,17.807,0.304,5.529,90,90,90,-3.556
UYO3,U,Y,cubic,-2.791,0.6,15.753,0,4.287,90,90,90,2.554
MgPmO3,Mg,Pm,orthorhombic,-2.791,0.201,13.692,0.702,5.61,90,90,90,-3.15
CrAcO3,Cr,Ac,rhombohedral,-2.79,0.6,16.754,1.802,6.388,56.1,56.1,56.1,-4.273
TaNpO3,Ta,Np,rhombohedral,-2.79,0.8,15.29,0.55,5.749,66.4,66.4,66.4,-0.811
DyGdO3,Dy,Gd,cubic,-2.789,0,16.035,1.31,4.312,90,90,90,0.097
HoFeO3,Ho,Fe,orthorhombic,-2.789,1,11.17,1.206,5.264,90,90,90,3.094
YbCrO3,Yb,Cr,orthorhombic,-2.789,0.4,10.367,0.578,5.191,90,90,90,1.718
KHfO3,K,Hf,orthorhombic,-2.788,0.2,14.248,0,5.856,90,90,90,0.398
TmYO3,Tm,Y,cubic,-2.787,0,15.361,1.077,4.251,90,90,90,0.048
LaBaO3,La,Ba,orthorhombic,-2.787,0.2,20.096,0.52,6.66,90,90,90,-2.741
CeUO3,Ce,U,cubic,-2.784,0.542,17.184,0,4.413,90,90,90,3.104
BaCeO3,Ba,Ce,orthorhombic,-2.784,0.2,18.712,0,6.355,90,90,90,-0.006
SnHfO3,Sn,Hf,orthorhombic,-2.783,0,13.857,2.398,5.797,90,90,90,5.278
UTaO3,U,Ta,rhombohedral,-2.783,0.529,12.908,0,5.388,67.9,67.9,67.9,3.37
CrPmO3,Cr,Pm,rhombohedral,-2.782,0.6,14.622,1.581,6.107,56,56,56,-5.027
DyFeO3,Dy,Fe,orthorhombic,-2.782,1,11.252,1.179,5.283,90,90,90,3.193
NdPmO3,Nd,Pm,cubic,-2.78,0,17.36,1.128,4.428,90,90,90,3.35
TbYO3,Tb,Y,cubic,-2.779,0,15.483,1.813,4.262,90,90,90,1.169
GdTbO3,Gd,Tb,cubic,-2.778,0,15.81,1.582,4.292,90,90,90,1.004
SmTaO3,Sm,Ta,cubic,-2.778,0.002,12.941,0,4.015,90,90,90,3.702
MnTiO3,Mn,Ti,orthorhombic,-2.777,1,10.264,1.398,5.132,90,90,90,3.891
GaPmO3,Ga,Pm,rhombohedral,-2.776,0,14.693,3.372,6.202,54.5,54.5,54.5,-4.558
CeNdO3,Ce,Nd,cubic,-2.776,0,17.971,1.055,4.479,90,90,90,3.435
NbLaO3,Nb,La,rhombohedral,-2.776,0,15.771,0.398,5.843,65.4,65.4,65.4,-9.466
DyThO3,Dy,Th,cubic,-2.775,0.024,18.86,0,4.552,90,90,90,2.41
ScZrO3,Sc,Zr,cubic,-2.773,0.191,13.843,0,4.106,90,90,90,4.047
CdHfO3,Cd,Hf,rhombohedral,-2.773,0,12.535,2.653,5.665,58.9,58.9,58.9,2.526
LaInO3,La,In,orthorhombic,-2.773,0,14.094,3.131,5.721,90,90,90,3.397
YBeO3,Y,Be,tetragonal,-2.772,0.031,9.598,0,3.316,90,90,90,-0.98
NbAcO3,Nb,Ac,rhombohedral,-2.769,0,17.012,0.448,6.029,64.5,64.5,64.5,-1.015
CsNpO3,Cs,Np,rhombohedral,-2.767,0.4,17.012,1.131,6.238,59.6,59.6,59.6,1.176
Sm2O3,Sm,Sm,cubic,-2.766,0,16.964,1.391,4.394,90,90,90,0.92
BeAcO3,Be,Ac,rhombohedral,-2.764,0.2,14.664,0,6.294,52.8,52.8,52.8,-5.221
MgNdO3,Mg,Nd,orthorhombic,-2.762,0.2,13.928,0.68,5.633,90,90,90,-3.289
LiHfO3,Li,Hf,rhombohedral,-2.759,0.2,11.406,0,5.584,56.8,56.8,56.8,-0.501
YbDyO3,Yb,Dy,cubic,-2.759,0.199,15.427,0,4.257,90,90,90,-1.456
HoGdO3,Ho,Gd,cubic,-2.759,0,16.034,1.071,4.312,90,90,90,0.771
LaBeO3,La,Be,tetragonal,-2.758,0.199,9.902,0,3.669,90,90,90,-0.348
YbMoO3,Yb,Mo,orthorhombic,-2.758,0.072,11.478,0,5.329,90,90,90,4.233
YFeO3,Y,Fe,orthorhombic,-2.758,1,11.329,1.153,5.298,90,90,90,3.19
CrNdO3,Cr,Nd,rhombohedral,-2.757,0.6,14.921,1.526,6.143,56.1,56.1,56.1,-5.414
LaFeO3,La,Fe,orthorhombic,-2.755,1,12.186,1.092,5.52,90,90,90,4.037
SmBeO3,Sm,Be,tetragonal,-2.755,0.043,9.86,0,3.39,90,90,90,-0.59
PrUO3,Pr,U,cubic,-2.754,0.546,16.999,0,4.397,90,90,90,2.997
HoThO3,Ho,Th,cubic,-2.753,0.008,18.864,0,4.552,90,90,90,2.036
LuDyO3,Lu,Dy,cubic,-2.753,0,15.334,0.591,4.248,90,90,90,-0.415
NdNpO3,Nd,Np,cubic,-2.752,0.792,17.182,0,4.412,90,90,90,3.451
ThTbO3,Th,Tb,cubic,-2.751,0,15.979,0,4.307,90,90,90,3.063
LaSiO3,La,Si,cubic,-2.751,0,11.122,0,3.817,90,90,90,4.551
PaScO3,Pa,Sc,cubic,-2.751,0.37,13.051,0,4.026,90,90,90,4.351
UGaO3,U,Ga,orthorhombic,-2.75,0.6,11.842,1.067,5.475,90,90,90,3.046
GaNdO3,Ga,Nd,rhombohedral,-2.749,0,14.98,3.279,6.254,54.3,54.3,54.3,-4.496
NaHfO3,Na,Hf,orthorhombic,-2.749,0.2,12.93,0,5.61,90,90,90,0.008
TbSrO3,Tb,Sr,orthorhombic,-2.747,0.106,16.647,0,5.845,90,90,90,-3.53
ThCuO3,Th,Cu,orthorhombic,-2.745,0,12.504,0,5.328,90,90,90,2.296
TlUO3,Tl,U,cubic,-2.745,0.2,16.675,2.695,4.369,90,90,90,4.183
LuVO3,Lu,V,cubic,-2.743,0.4,11.209,0,3.827,90,90,90,3.721
CrTiO3,Cr,Ti,orthorhombic,-2.743,0.8,10.181,0.326,5.067,90,90,90,1.738
Pm2O3,Pm,Pm,cubic,-2.742,0,17.285,1.171,4.421,90,90,90,3.245
GdBeO3,Gd,Be,orthorhombic,-2.741,0.2,9.075,0,5.025,90,90,90,-0.771
AcBaO3,Ac,Ba,orthorhombic,-2.741,0.2,20.944,0,6.315,90,90,90,-1.771
ThMnO3,Th,Mn,cubic,-2.74,0.91,12.324,0,3.95,90,90,90,3.746
NpFeO3,Np,Fe,orthorhombic,-2.74,1.4,12.033,1.35,5.357,90,90,90,4.556
MgPrO3,Mg,Pr,orthorhombic,-2.739,0.2,14.145,0.821,5.647,90,90,90,-3.347
PmInO3,Pm,In,orthorhombic,-2.737,0,13.553,3.011,5.61,90,90,90,3.286
CrPrO3,Cr,Pr,rhombohedral,-2.737,0.6,15.218,1.798,6.182,56.1,56.1,56.1,-5.186
PrSiO3,Pr,Si,tetragonal,-2.737,0.001,11.65,0,3.579,90,90,90,4.673
SmPuO3,Sm,Pu,cubic,-2.735,0.928,16.641,0,4.366,90,90,90,2.548
HfLiO3,Hf,Li,orthorhombic,-2.734,0.172,9.354,0,5.001,90,90,90,-3.019
SmFeO3,Sm,Fe,orthorhombic,-2.734,1,11.7,1.151,5.383,90,90,90,3.624
SmBaO3,Sm,Ba,orthorhombic,-2.733,0.112,19.204,0,6.032,90,90,90,-5.106
Ac2O3,Ac,Ac,cubic,-2.732,0,20.836,0.332,4.705,90,90,90,3.15
PrNdO3,Pr,Nd,cubic,-2.732,0,17.89,1.091,4.472,90,90,90,3.249
ErThO3,Er,Th,cubic,-2.732,0.024,18.856,0,4.551,90,90,90,1.975
GdTaO3,Gd,Ta,cubic,-2.731,0.001,12.86,0,4.006,90,90,90,3.388
AcFeO3,Ac,Fe,orthorhombic,-2.731,1,12.687,0.906,5.63,90,90,90,4.135
NdUO3,Nd,U,cubic,-2.731,0.551,17.191,0,4.413,90,90,90,2.91
LuYO3,Lu,Y,cubic,-2.729,0,15.313,0.868,4.246,90,90,90,-0.404
ErGdO3,Er,Gd,cubic,-2.729,0,16.005,0.817,4.309,90,90,90,-0.434
GaPrO3,Ga,Pr,rhombohedral,-2.728,0,15.29,3.177,6.299,54.2,54.2,54.2,-4.886
PmFeO3,Pm,Fe,orthorhombic,-2.727,1,11.787,1.119,5.405,90,90,90,3.7
RbHfO3,Rb,Hf,cubic,-2.727,0.2,14.655,0,4.185,90,90,90,0.35
YTbO3,Y,Tb,cubic,-2.726,0,15.798,1.658,4.291,90,90,90,0.631
HfBeO3,Hf,Be,cubic,-2.726,0,7.939,1.19,3.411,90,90,90,4.212
CeLaO3,Ce,La,cubic,-2.726,0,18.764,0.482,4.544,90,90,90,2.756
PmBaO3,Pm,Ba,orthorhombic,-2.725,0.113,19.352,0,6.055,90,90,90,-5.83
PmBeO3,Pm,Be,cubic,-2.724,0.2,9.372,0,3.605,90,90,90,-0.532
CrTbO3,Cr,Tb,orthorhombic,-2.724,0.6,12.563,1.461,5.492,90,90,90,-4.733
VSrO3,V,Sr,orthorhombic,-2.723,0.2,14.899,1.523,5.532,90,90,90,-9.981
PmNpO3,Pm,Np,cubic,-2.723,0.793,17.295,0,4.422,90,90,90,3.499
NdInO3,Nd,In,orthorhombic,-2.72,0,13.73,2.935,5.643,90,90,90,3.394
PaSrO3,Pa,Sr,tetragonal,-2.718,0.2,17.429,0.678,3.796,90,90,90,-8.015
DyTbO3,Dy,Tb,cubic,-2.717,0,15.738,1.366,4.285,90,90,90,0.427
BeNdO3,Be,Nd,rhombohedral,-2.716,0.2,13.129,0,5.968,54.6,54.6,54.6,-5.982
InScO3,In,Sc,orthorhombic,-2.716,0,11.834,2.332,5.355,90,90,90,-2.53
AcBeO3,Ac,Be,cubic,-2.715,0.183,10.639,0,3.761,90,90,90,-0.08
CrCeO3,Cr,Ce,rhombohedral,-2.713,0.6,15.568,1.726,6.225,56.2,56.2,56.2,-5.24
TmThO3,Tm,Th,cubic,-2.711,0.013,18.888,0,4.554,90,90,90,1.886
SmPmO3,Sm,Pm,cubic,-2.711,0,17.265,1.193,4.42,90,90,90,3.17
ThKO3,Th,K,orthorhombic,-2.71,0.185,19.47,0,5.924,90,90,90,-3.539
NdBeO3,Nd,Be,cubic,-2.709,0.2,9.542,0,3.627,90,90,90,-0.443
GaTbO3,Ga,Tb,rhombohedral,-2.708,0,13.53,3.176,5.972,55.6,55.6,55.6,-4.648
ZrBeO3,Zr,Be,cubic,-2.706,0,8.145,0.944,3.44,90,90,90,3.63
UGdO3,U,Gd,cubic,-2.706,0.6,16.31,0,4.337,90,90,90,2.735
NdFeO3,Nd,Fe,orthorhombic,-2.706,1,11.914,1.081,5.431,90,90,90,3.83
PrInO3,Pr,In,orthorhombic,-2.705,0,13.896,2.989,5.67,90,90,90,3.343
VBaO3,V,Ba,orthorhombic,-2.704,0.2,16.597,1.269,5.416,90,90,90,-13.06
LiNbO3,Li,Nb,rhombohedral,-2.704,0,10.725,2.613,5.467,56.9,56.9,56.9,4.763
EuGeO3,Eu,Ge,rhombohedral,-2.704,0,10.559,1.791,5.284,60.5,60.5,60.5,4.364
NbSrO3,Nb,Sr,orthorhombic,-2.703,0,15.624,0,5.672,90,90,90,-14.053
NpSiO3,Np,Si,tetragonal,-2.702,0.886,11.51,0,3.576,90,90,90,4.25
LaYbO3,La,Yb,cubic,-2.702,0,14.344,0,4.155,90,90,90,-0.903
GaCeO3,Ga,Ce,rhombohedral,-2.702,0,15.64,3.276,6.35,54.2,54.2,54.2,-4.648
EuSnO3,Eu,Sn,orthorhombic,-2.701,0,12.755,2.578,5.587,90,90,90,3.686
PmUO3,Pm,U,cubic,-2.701,0.561,16.981,0,4.395,90,90,90,2.762
PrBaO3,Pr,Ba,orthorhombic,-2.701,0.2,19.871,0,6.163,90,90,90,-3.37
NdBaO3,Nd,Ba,orthorhombic,-2.701,0.112,19.582,0,6.118,90,90,90,-5.358
LaCeO3,La,Ce,cubic,-2.7,0,18.942,0.687,4.558,90,90,90,3.087
PrBeO3,Pr,Be,tetragonal,-2.698,-0.003,10.004,0,3.501,90,90,90,-0.356
CePrO3,Ce,Pr,cubic,-2.697,0,18.434,0.879,4.517,90,90,90,3.116
GdSmO3,Gd,Sm,cubic,-2.697,0,16.867,1.343,4.385,90,90,90,-0.462
YTaO3,Y,Ta,cubic,-2.696,0.001,12.848,0,4.005,90,90,90,3.345
GaNpO3,Ga,Np,rhombohedral,-2.695,0.8,14.96,0.549,6.146,56.2,56.2,56.2,1.275
TmGdO3,Tm,Gd,cubic,-2.694,0,15.965,0.673,4.306,90,90,90,-0.771
SmNpO3,Sm,Np,cubic,-2.694,0.791,17.25,0,4.418,90,90,90,3.32
AcPaO3,Ac,Pa,cubic,-2.693,0.241,18.517,0,4.524,90,90,90,4.095
BeCeO3,Be,Ce,rhombohedral,-2.693,0.2,14.01,0,6.248,52,52,52,-6.265
Nd2O3,Nd,Nd,cubic,-2.692,0,17.831,0.935,4.467,90,90,90,3.107
ScLuO3,Sc,Lu,cubic,-2.692,0,14.111,0.696,4.132,90,90,90,-0.613
TbBaO3,Tb,Ba,orthorhombic,-2.69,0.201,18.699,0.64,6.5,90,90,90,-6.725
UPuO3,U,Pu,cubic,-2.69,1.6,17.523,0,4.441,90,90,90,3.167
PrFeO3,Pr,Fe,orthorhombic,-2.69,1,12.066,1.048,5.477,90,90,90,3.968
TaRbO3,Ta,Rb,orthorhombic,-2.689,0,19.597,3.593,5.93,90,90,90,-14.916
HoTbO3,Ho,Tb,cubic,-2.688,0,15.722,1.246,4.284,90,90,90,0.263
TbGdO3,Tb,Gd,cubic,-2.688,0,16.07,1.489,4.315,90,90,90,0.37
BiLuO3,Bi,Lu,orthorhombic,-2.686,0,14.19,2.947,5.682,90,90,90,0.295
NaNbO3,Na,Nb,orthorhombic,-2.686,0,11.887,2.204,5.47,90,90,90,5.195
CeInO3,Ce,In,orthorhombic,-2.686,0,14.1,2.961,5.713,90,90,90,3.53
YbGdO3,Yb,Gd,cubic,-2.686,0.2,15.92,0,4.302,90,90,90,-1.511
NbBaO3,Nb,Ba,orthorhombic,-2.685,0,17.848,0,5.693,90,90,90,-16.578
TaKO3,Ta,K,orthorhombic,-2.684,0,17.643,3.635,5.769,90,90,90,-21.785
PmSiO3,Pm,Si,cubic,-2.682,0,10.493,0,3.744,90,90,90,4.692
LuThO3,Lu,Th,cubic,-2.682,0.008,18.873,0,4.553,90,90,90,1.859
LaMoO3,La,Mo,orthorhombic,-2.681,0.388,13.065,0,5.543,90,90,90,3.435
DyTaO3,Dy,Ta,cubic,-2.68,0.001,12.815,0,4.002,90,90,90,3.128
PrLaO3,Pr,La,cubic,-2.68,0,18.627,0.501,4.533,90,90,90,2.547
NdSiO3,Nd,Si,cubic,-2.679,0.001,10.671,0,3.765,90,90,90,4.689
Th2O3,Th,Th,cubic,-2.678,0.342,19.11,0,4.572,90,90,90,-0.878
ScInO3,Sc,In,orthorhombic,-2.677,0,11.99,3.175,5.317,90,90,90,0.677
MgZrO3,Mg,Zr,cubic,-2.676,0,13.812,0.843,4.103,90,90,90,2.605
CeBaO3,Ce,Ba,orthorhombic,-2.675,0.199,20.007,0,6.203,90,90,90,-4.398
SmSiO3,Sm,Si,cubic,-2.675,0,10.394,0,3.732,90,90,90,4.676
GdPuO3,Gd,Pu,cubic,-2.673,0.947,16.632,0,4.365,90,90,90,0.039
CeBeO3,Ce,Be,cubic,-2.673,0.2,9.919,0,3.674,90,90,90,-0.294
CdUO3,Cd,U,orthorhombic,-2.67,0.4,14.798,1.056,5.794,90,90,90,4.083
CeFeO3,Ce,Fe,orthorhombic,-2.669,1,12.214,1.144,5.518,90,90,90,4.094
MnGdO3,Mn,Gd,orthorhombic,-2.667,0.8,12.844,0.346,5.661,90,90,90,-2.85
TbThO3,Tb,Th,cubic,-2.666,0.009,18.854,0,4.551,90,90,90,2.238
GdSiO3,Gd,Si,cubic,-2.666,0,10.145,0,3.702,90,90,90,4.651
CaYO3,Ca,Y,cubic,-2.666,0.2,15.844,0,4.295,90,90,90,-1.37
EuNdO3,Eu,Nd,cubic,-2.666,0.2,17.198,0,4.414,90,90,90,-1.14
TbBeO3,Tb,Be,tetragonal,-2.663,0.044,9.596,0,3.326,90,90,90,-0.866
ThNpO3,Th,Np,cubic,-2.663,0.879,17.416,0,4.432,90,90,90,1.326
GeHfO3,Ge,Hf,orthorhombic,-2.66,0,12.262,2.728,5.421,90,90,90,4.589
MnPaO3,Mn,Pa,rhombohedral,-2.66,1.2,14.951,1.705,6.063,57.8,57.8,57.8,4.966
HfAlO3,Hf,Al,cubic,-2.658,0,9.539,0,3.627,90,90,90,4.93
ErTbO3,Er,Tb,cubic,-2.658,0,15.697,0.985,4.282,90,90,90,0
GdNbO3,Gd,Nb,cubic,-2.654,0.001,13.069,0,4.028,90,90,90,3.349
PmNdO3,Pm,Nd,cubic,-2.654,0,17.772,1.156,4.462,90,90,90,2.951
HfNaO3,Hf,Na,orthorhombic,-2.654,0.019,13.094,0,5.15,90,90,90,-5.152
HoTaO3,Ho,Ta,cubic,-2.654,0.001,12.806,0,4.001,90,90,90,3.002
LiPuO3,Li,Pu,orthorhombic,-2.653,0.6,12.122,1.592,5.445,90,90,90,0.694
KPuO3,K,Pu,orthorhombic,-2.652,0.6,15.942,1.203,6.06,90,90,90,1.309
Pr2O3,Pr,Pr,cubic,-2.652,0,18.345,0.91,4.51,90,90,90,2.96
InHfO3,In,Hf,orthorhombic,-2.651,0,12.923,0,5.61,90,90,90,2.437
TiCrO3,Ti,Cr,orthorhombic,-2.647,0.8,9.609,0,4.894,90,90,90,0.834
YSmO3,Y,Sm,cubic,-2.647,0,16.879,1.24,4.386,90,90,90,-0.803
TbFeO3,Tb,Fe,orthorhombic,-2.644,1,11.338,1.168,5.301,90,90,90,3.264
YSiO3,Y,Si,cubic,-2.643,0,10.014,0,3.686,90,90,90,4.666
DySiO3,Dy,Si,cubic,-2.642,0.001,9.983,0,3.682,90,90,90,4.576
GdPmO3,Gd,Pm,cubic,-2.641,0,17.185,1.137,4.413,90,90,90,-0.871
KZrO3,K,Zr,orthorhombic,-2.639,0.2,14.879,0,5.941,90,90,90,0.148
MnLaO3,Mn,La,orthorhombic,-2.639,0.8,14.125,0.268,5.791,90,90,90,-3.007
CaGdO3,Ca,Gd,cubic,-2.638,0.2,16.276,0,4.334,90,90,90,-1.267
NdLaO3,Nd,La,cubic,-2.638,0,18.563,0.693,4.528,90,90,90,2.384
SmMoO3,Sm,Mo,orthorhombic,-2.637,0.591,12.69,0,5.47,90,90,90,2.336
DySmO3,Dy,Sm,cubic,-2.635,0,16.805,0.893,4.38,90,90,90,-1.02
CdZrO3,Cd,Zr,orthorhombic,-2.635,0,12.756,2.77,5.534,90,90,90,1.752
NbLiO3,Nb,Li,orthorhombic,-2.634,0,9.588,2.594,4.772,90,90,90,-2.884
TaNaO3,Ta,Na,orthorhombic,-2.633,0,12.859,2.958,5.468,90,90,90,-11.349
UNbO3,U,Nb,cubic,-2.632,0.662,13.425,0,4.064,90,90,90,3.631
GdNpO3,Gd,Np,cubic,-2.632,0.789,17.306,0,4.423,90,90,90,2.533
UTbO3,U,Tb,cubic,-2.631,0.6,16.016,0,4.31,90,90,90,3.219
PmMoO3,Pm,Mo,orthorhombic,-2.631,0.588,12.787,0,5.489,90,90,90,2.505
NaPuO3,Na,Pu,orthorhombic,-2.631,0.6,13.779,1.196,5.74,90,90,90,0.983
ErTaO3,Er,Ta,cubic,-2.629,0,12.78,0,3.998,90,90,90,2.891
RbPuO3,Rb,Pu,orthorhombic,-2.629,0.6,16.48,1.002,6.151,90,90,90,1.277
PuPmO3,Pu,Pm,cubic,-2.629,1.025,17.704,0.405,4.457,90,90,90,-1.198
SnZrO3,Sn,Zr,tetragonal,-2.627,0,14.31,1.659,4.051,90,90,90,4.877
HoSiO3,Ho,Si,cubic,-2.626,0.001,9.905,0,3.672,90,90,90,4.541
NpNaO3,Np,Na,orthorhombic,-2.626,0.4,13.281,1.515,5.475,90,90,90,-4.152
DyPuO3,Dy,Pu,cubic,-2.624,0.914,16.572,0,4.36,90,90,90,2.792
TmTbO3,Tm,Tb,cubic,-2.623,0,15.658,0.861,4.278,90,90,90,-0.338
GaUO3,Ga,U,tetragonal,-2.623,0.2,16.167,2.492,4.308,90,90,90,4.188
NpNiO3,Np,Ni,orthorhombic,-2.622,1,11.519,2.162,5.277,90,90,90,3.251
AsAcO3,As,Ac,orthorhombic,-2.622,0,16.601,2.97,5.879,90,90,90,-2.465
ThPmO3,Th,Pm,cubic,-2.619,0,17.262,0,4.419,90,90,90,2.035
MnSmO3,Mn,Sm,orthorhombic,-2.618,0.8,13.265,0,5.669,90,90,90,-3.085
EuPrO3,Eu,Pr,cubic,-2.616,0.2,17.636,0,4.451,90,90,90,-1.142
Tb2O3,Tb,Tb,cubic,-2.616,0,15.769,1.476,4.288,90,90,90,0.693
YNbO3,Y,Nb,cubic,-2.615,0,13.062,0,4.027,90,90,90,3.287
CsHfO3,Cs,Hf,cubic,-2.615,0.2,15.262,0,4.242,90,90,90,0.021
NpYbO3,Np,Yb,cubic,-2.613,0.599,14.146,0,4.136,90,90,90,-0.865
EuMnO3,Eu,Mn,rhombohedral,-2.612,0.6,10.64,0,5.283,60.9,60.9,60.9,1.741
RbNbO3,Rb,Nb,tetragonal,-2.612,0,13.561,1.587,4.036,90,90,90,5.22
CeYbO3,Ce,Yb,cubic,-2.612,-0.001,14.347,0,4.155,90,90,90,-0.877
NdMoO3,Nd,Mo,orthorhombic,-2.612,0.575,12.936,0,5.511,90,90,90,2.722
NdPrO3,Nd,Pr,cubic,-2.611,0,18.292,0.745,4.505,90,90,90,2.807
SrMoO3,Sr,Mo,orthorhombic,-2.611,0.001,12.645,0,5.632,90,90,90,5.296
CaCrO3,Ca,Cr,orthorhombic,-2.611,0.4,11.068,0.541,5.302,90,90,90,1.456
TlThO3,Tl,Th,orthorhombic,-2.611,0,16.806,0,6.024,90,90,90,0.058
ErSiO3,Er,Si,cubic,-2.61,0.001,9.83,0,3.663,90,90,90,4.497
ScTmO3,Sc,Tm,cubic,-2.61,0,14.569,0.69,4.176,90,90,90,-1.199
YbMnO3,Yb,Mn,orthorhombic,-2.61,0.6,10.224,0.7,5.193,90,90,90,1.429
ScThO3,Sc,Th,cubic,-2.609,0.196,18.72,0,4.54,90,90,90,2.966
CuUO3,Cu,U,rhombohedral,-2.609,0.2,13.29,1.769,5.912,56.1,56.1,56.1,3.288
BiScO3,Bi,Sc,orthorhombic,-2.608,0,13.075,3.008,5.56,90,90,90,1.957
LiZrO3,Li,Zr,rhombohedral,-2.607,0.2,11.774,0,5.64,56.9,56.9,56.9,-0.792
PuMoO3,Pu,Mo,orthorhombic,-2.607,1.002,12.506,0,5.443,90,90,90,3.94
HfKO3,Hf,K,orthorhombic,-2.605,0.2,15.673,0.989,6.409,90,90,90,-15.905
HoSmO3,Ho,Sm,cubic,-2.604,0,16.798,0.89,4.379,90,90,90,-1.293
MnPmO3,Mn,Pm,orthorhombic,-2.604,0.8,13.426,0.357,5.688,90,90,90,-3.111
Ce2O3,Ce,Ce,cubic,-2.604,0,18.959,0.816,4.56,90,90,90,2.825
MnAcO3,Mn,Ac,orthorhombic,-2.604,0.8,15.237,0.299,5.902,90,90,90,-3.019
PaLuO3,Pa,Lu,cubic,-2.603,0.383,14.472,0,4.167,90,90,90,3.934
DyNbO3,Dy,Nb,cubic,-2.601,0.001,13.018,0,4.023,90,90,90,3.104
CsNbO3,Cs,Nb,tetragonal,-2.601,0,16.947,1.792,3.95,90,90,90,4.366
TmTaO3,Tm,Ta,cubic,-2.601,0.001,12.763,0,3.996,90,90,90,2.754
UCdO3,U,Cd,orthorhombic,-2.6,0.4,14.039,2.146,5.62,90,90,90,-0.036
HoPuO3,Ho,Pu,cubic,-2.6,0.908,16.588,0,4.361,90,90,90,-0.757
PmLaO3,Pm,La,cubic,-2.599,0,18.49,0.539,4.522,90,90,90,2.257
CrPaO3,Cr,Pa,rhombohedral,-2.597,1,14.44,1.247,5.985,57.9,57.9,57.9,5.275
PrMoO3,Pr,Mo,orthorhombic,-2.596,0.549,13.072,0,5.531,90,90,90,2.939
TmSiO3,Tm,Si,cubic,-2.594,0,9.755,0,3.654,90,90,90,4.438
ThZnO3,Th,Zn,cubic,-2.594,0,12.005,0,3.915,90,90,90,3.275
YbTbO3,Yb,Tb,cubic,-2.593,0.2,15.695,0,4.281,90,90,90,-1.472
ThNbO3,Th,Nb,cubic,-2.593,0,13.44,0,4.066,90,90,90,2.293
RbZrO3,Rb,Zr,cubic,-2.593,0.2,15.275,0,4.243,90,90,90,0.129
CePaO3,Ce,Pa,cubic,-2.592,0.293,18.039,0,4.485,90,90,90,5.172
YPmO3,Y,Pm,cubic,-2.591,0,17.189,1.032,4.413,90,90,90,-1.227
HoMgO3,Ho,Mg,cubic,-2.591,0.2,10.946,0,3.797,90,90,90,-1.592
NaZrO3,Na,Zr,orthorhombic,-2.59,0.2,13.283,0,5.659,90,90,90,-0.312
CaMoO3,Ca,Mo,orthorhombic,-2.59,0.028,11.802,0,5.41,90,90,90,4.546
