formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,vpa,gap pbe,a,c,alpha,gamma,e_form oxygen
GdRbO3,Gd,Rb,orthorhombic,-1.993,0.472,0.4,19.903,0,6.026,10.916,90,90,-3.254
SiUO3,Si,U,cubic,-1.992,1.23,0.077,16.028,0,4.311,4.311,90,90,3.51
KNdO3,K,Nd,orthorhombic,-1.992,0.396,0.4,18.285,0,6.373,8.987,90,90,-0.889
TiTmO3,Ti,Tm,cubic,-1.991,1.536,0.207,14.557,0,4.175,4.175,90,90,-4.261
CuSmO3,Cu,Sm,rhombohedral,-1.991,0.274,0.399,14.041,0.368,6.098,6.098,54.7,54.7,-3.935
CeSrO3,Ce,Sr,cubic,-1.99,1.007,0,17.087,0,4.404,4.404,90,90,-2.116
USnO3,U,Sn,cubic,-1.988,0.919,0.744,13.908,0,4.112,4.112,90,90,2.06
PbEuO3,Pb,Eu,orthorhombic,-1.986,0.191,0,15.286,0.229,5.932,8.651,90,90,-2.642
HfThO3,Hf,Th,cubic,-1.986,1.708,0.351,18.638,0,4.534,4.534,90,90,-0.74
LiEuO3,Li,Eu,orthorhombic,-1.985,0.089,0.129,12.171,0,5.554,7.203,90,90,-5.968
VSnO3,V,Sn,orthorhombic,-1.985,0.223,0.597,11.623,0,5.362,7.763,90,90,1.47
MnSnO3,Mn,Sn,orthorhombic,-1.984,0.042,1,11.639,0.851,5.368,7.823,90,90,2.711
KTbO3,K,Tb,cubic,-1.983,0.375,0.4,17.438,0,4.434,4.434,90,90,-0.869
HoSnO3,Ho,Sn,cubic,-1.982,0.875,0,13.735,0,4.095,4.095,90,90,2.228
PdTaO3,Pd,Ta,orthorhombic,-1.982,0.339,0.2,11.713,0,5.416,7.755,90,90,3.197
CdVO3,Cd,V,orthorhombic,-1.982,0.051,0.2,10.805,0.659,5.282,7.661,90,90,2.427
BiYO3,Bi,Y,cubic,-1.982,0.659,0,16.089,0,4.317,4.317,90,90,-0.964
MoNaO3,Mo,Na,orthorhombic,-1.981,0.282,0.073,13.047,0,5.552,8.372,90,90,-13.886
NbTiO3,Nb,Ti,cubic,-1.98,0.877,0.526,11.393,0,3.848,3.848,90,90,1.931
SbLuO3,Sb,Lu,cubic,-1.98,0.79,0,14.675,0,4.186,4.186,90,90,-1.451
PaNbO3,Pa,Nb,cubic,-1.98,0.741,0.479,13.421,0,4.064,4.064,90,90,1.448
CuPmO3,Cu,Pm,rhombohedral,-1.98,0.224,0.4,14.195,0.366,6.115,6.115,54.8,54.8,-3.828
YbPtO3,Yb,Pt,orthorhombic,-1.98,-0.133,0.001,11.319,0.932,5.227,7.593,90,90,-0.622
RbTbO3,Rb,Tb,rhombohedral,-1.979,0.37,0.4,17.947,0,6.318,6.318,60.3,60.3,-0.757
RhPmO3,Rh,Pm,orthorhombic,-1.979,0.382,0,13.388,0.366,5.442,8.406,90,90,-6.557
NaGdO3,Na,Gd,cubic,-1.978,0.507,0.4,17.15,0,4.41,4.41,90,90,-1.291
FeSrO3,Fe,Sr,orthorhombic,-1.978,0.21,0.8,14.629,0,5.582,9.064,90,90,-8.054
CeSbO3,Ce,Sb,cubic,-1.978,0.572,0,15.47,0,4.261,4.261,90,90,2.066
ZrGaO3,Zr,Ga,cubic,-1.978,0.902,0.008,10.708,0,3.769,3.769,90,90,2.65
TbTcO3,Tb,Tc,cubic,-1.977,0.568,0.314,12.175,0,3.934,3.934,90,90,1.296
BiNpO3,Bi,Np,cubic,-1.976,0.742,0.56,17.126,0,4.408,4.408,90,90,0.299
TeThO3,Te,Th,cubic,-1.976,0.967,0,19.105,0,4.571,4.571,90,90,-0.737
TiHgO3,Ti,Hg,orthorhombic,-1.975,0.152,0,13.864,2.063,5.301,8.969,90,90,-8.241
AcKO3,Ac,K,orthorhombic,-1.973,0.394,0.4,19.767,0,6.346,9.682,90,90,-2.742
CsPrO3,Cs,Pr,cubic,-1.973,0.378,0.4,20.493,0,4.679,4.679,90,90,-0.746
SnHoO3,Sn,Ho,cubic,-1.972,0.885,-0.008,15.913,0,4.301,4.301,90,90,-2.231
MnTmO3,Mn,Tm,cubic,-1.972,1.052,0.798,14.829,0,4.201,4.201,90,90,-2.333
MnMoO3,Mn,Mo,orthorhombic,-1.971,0.193,1.167,10.964,0,5.288,7.637,90,90,3.603
GeNbO3,Ge,Nb,orthorhombic,-1.97,0.296,0.195,12.028,0,5.31,7.795,90,90,4.379
CaEuO3,Ca,Eu,cubic,-1.97,0.693,0.016,14.976,0,4.215,4.215,90,90,-1.586
RbPrO3,Rb,Pr,cubic,-1.969,0.387,0.4,19.81,0,4.627,4.627,90,90,-0.782
MgGdO3,Mg,Gd,cubic,-1.968,1.115,0.2,15.978,0,4.307,4.307,90,90,-2.812
OsAcO3,Os,Ac,orthorhombic,-1.968,0.345,0.2,17.298,0,6.186,8.59,90,90,-4.356
HfDyO3,Hf,Dy,cubic,-1.967,1.686,0.163,15.186,0,4.235,4.235,90,90,-6.515
KPrO3,K,Pr,orthorhombic,-1.967,0.401,0.4,18.564,0,6.409,9.009,90,90,-0.92
NbBeO3,Nb,Be,cubic,-1.967,0.851,0.017,7.899,0,3.405,3.405,90,90,1.975
ZrLiO3,Zr,Li,cubic,-1.965,0.89,0.2,8.605,0,3.504,3.504,90,90,-2.664
EuPtO3,Eu,Pt,orthorhombic,-1.964,-0.071,0,12.001,0.623,5.411,7.765,90,90,0.039
RhAcO3,Rh,Ac,orthorhombic,-1.964,0.37,0,15.416,0.3,5.788,8.855,90,90,-6.432
RhAcO3,Rh,Ac,orthorhombic,-1.964,0.37,0,15.416,0.3,5.788,8.855,90,90,-6.432
SiTiO3,Si,Ti,cubic,-1.964,1,0,11.403,1.725,3.849,3.849,90,90,1.685
ZrTbO3,Zr,Tb,cubic,-1.963,1.462,0.2,15.572,0,4.27,4.27,90,90,-5.312
LiTmO3,Li,Tm,cubic,-1.963,0.685,0.4,15.693,0,4.281,4.281,90,90,-1.789
CoTiO3,Co,Ti,cubic,-1.963,0.525,0.6,11.159,0.677,3.821,3.821,90,90,1.218
CsTbO3,Cs,Tb,cubic,-1.962,0.381,0.4,18.761,0,4.544,4.544,90,90,-0.762
BiCrO3,Bi,Cr,orthorhombic,-1.962,0.016,0.6,11.928,1.56,5.43,7.781,90,90,3.843
LaAgO3,La,Ag,orthorhombic,-1.962,0.007,0,13.645,0,5.635,8.08,90,90,0.272
NbSnO3,Nb,Sn,orthorhombic,-1.961,0.355,0,12.934,0,5.735,6.811,90,90,1.467
SnDyO3,Sn,Dy,cubic,-1.96,0.893,-0.201,16.116,0,4.319,4.319,90,90,-2.247
GdAsO3,Gd,As,cubic,-1.959,0.66,0,12.804,0,4,4,90,90,2.291
TiPaO3,Ti,Pa,cubic,-1.958,0.999,0.593,16.663,0,4.368,4.368,90,90,3.847
NpSrO3,Np,Sr,cubic,-1.957,1.461,0.826,17.004,0,4.397,4.397,90,90,-2.042
GdRuO3,Gd,Ru,cubic,-1.957,0.526,0.121,12.032,0,3.918,3.918,90,90,0.899
AcAgO3,Ac,Ag,orthorhombic,-1.957,-0.055,0,14.485,0,5.779,8.248,90,90,0.817
AsUO3,As,U,cubic,-1.957,0.817,0.04,16.096,0,4.318,4.318,90,90,2.774
ErSnO3,Er,Sn,cubic,-1.956,0.907,0,13.706,0,4.092,4.092,90,90,2.19
ZrMnO3,Zr,Mn,cubic,-1.956,1.039,0.718,10.942,0,3.796,3.796,90,90,1.759
GdReO3,Gd,Re,cubic,-1.956,0.757,0.162,12.322,0,3.95,3.95,90,90,0.537
GeVO3,Ge,V,tetragonal,-1.954,0.211,0.2,11.902,1.049,3.75,4.232,90,90,2.827
MgFeO3,Mg,Fe,orthorhombic,-1.954,0.1,0.799,9.425,0,4.977,7.262,90,90,0.07
ThReO3,Th,Re,cubic,-1.953,1.102,0.019,12.73,0,3.993,3.993,90,90,0.644
CuCeO3,Cu,Ce,rhombohedral,-1.953,0.204,0.4,15.973,0.464,6.703,6.703,49.4,49.4,-4.235
BaRuO3,Ba,Ru,cubic,-1.953,0.071,0.389,13.15,0,4.036,4.036,90,90,3.303
CrMoO3,Cr,Mo,orthorhombic,-1.952,0.259,1.179,10.908,0,5.227,7.679,90,90,4.002
CoZrO3,Co,Zr,cubic,-1.951,0.726,0.599,13.778,0,4.099,4.099,90,90,-0.141
SmRbO3,Sm,Rb,orthorhombic,-1.951,0.469,0.4,20.346,0,6.107,10.798,90,90,-3.016
BeUO3,Be,U,cubic,-1.951,1.527,0.026,15.782,0,4.289,4.289,90,90,4.378
AcHgO3,Ac,Hg,orthorhombic,-1.951,0.021,0,15.992,0,5.817,8.231,90,90,0.336
RhNdO3,Rh,Nd,orthorhombic,-1.95,0.386,0,13.655,0.355,5.487,8.46,90,90,-6.698
LuTcO3,Lu,Tc,cubic,-1.949,0.797,0.319,12.024,0,3.917,3.917,90,90,0.535
LaHgO3,La,Hg,orthorhombic,-1.948,0.09,0,15.065,0,5.73,8.14,90,90,-0.136
NbScO3,Nb,Sc,cubic,-1.948,1.21,0.4,12.386,0,3.956,3.956,90,90,-2.429
CrWO3,Cr,W,orthorhombic,-1.948,0.286,0.881,11.119,0,5.39,7.644,90,90,4.578
GePuO3,Ge,Pu,cubic,-1.948,0.719,0.8,16.361,0,4.341,4.341,90,90,2.975
CsCeO3,Cs,Ce,cubic,-1.947,0.377,0.4,20.968,0,4.715,4.715,90,90,-0.693
MnWO3,Mn,W,rhombohedral,-1.946,0.263,0.947,10.985,0,5.241,5.241,63.6,63.6,3.688
TaBeO3,Ta,Be,cubic,-1.946,0.993,0.001,7.821,0,3.394,3.394,90,90,3.022
PrSrO3,Pr,Sr,cubic,-1.946,1.078,-0.003,16.936,0,4.391,4.391,90,90,-2.307
PrSbO3,Pr,Sb,cubic,-1.946,0.711,0,15.329,0,4.248,4.248,90,90,1.926
NdKO3,Nd,K,orthorhombic,-1.943,0.445,0.4,19.02,0,6.166,9.869,90,90,-3.388
VLuO3,V,Lu,cubic,-1.942,1.354,0.4,14.426,0,4.163,4.163,90,90,-4.776
BeHfO3,Be,Hf,cubic,-1.942,1.548,0,13.036,0,4.024,4.024,90,90,-0.712
ZnEuO3,Zn,Eu,orthorhombic,-1.942,0.076,0,12.944,2.185,5.884,7.287,90,90,-6.161
HfYO3,Hf,Y,cubic,-1.942,1.689,0.162,15.171,0,4.233,4.233,90,90,-6.841
URuO3,U,Ru,cubic,-1.941,0.731,0.565,12.441,0,3.962,3.962,90,90,0.962
SrOsO3,Sr,Os,orthorhombic,-1.941,-0.067,0.196,12.35,0,5.588,7.897,90,90,3.325
MnGeO3,Mn,Ge,orthorhombic,-1.941,0.085,1,9.776,1.382,5.09,7.334,90,90,3.174
ScCoO3,Sc,Co,cubic,-1.94,0.591,0,9.546,0.849,3.627,3.627,90,90,1.089
LaKO3,La,K,orthorhombic,-1.939,0.498,0.126,19.156,0,6.24,9.727,90,90,-3.241
SnCrO3,Sn,Cr,orthorhombic,-1.939,0.195,0.623,11.276,0,5.295,7.684,90,90,1.68
PaTlO3,Pa,Tl,orthorhombic,-1.938,0.625,0.203,15.913,0,5.991,8.464,90,90,-0.857
CuPrO3,Cu,Pr,rhombohedral,-1.938,0.234,0.4,14.773,0.342,6.179,6.179,55.1,55.1,-3.905
MgCrO3,Mg,Cr,cubic,-1.937,0.564,0.399,10.386,0,3.731,3.731,90,90,0.439
TaAlO3,Ta,Al,cubic,-1.936,1.036,0.334,9.578,0,3.631,3.631,90,90,3.961
TiErO3,Ti,Er,cubic,-1.936,1.574,0.197,14.873,0,4.205,4.205,90,90,-4.594
AuTaO3,Au,Ta,rhombohedral,-1.935,0.303,0,12.233,1.182,5.669,5.669,57.8,57.8,3.741
CaRhO3,Ca,Rh,orthorhombic,-1.934,0.008,0.2,11.592,0,5.347,7.697,90,90,1.092
PrAuO3,Pr,Au,orthorhombic,-1.934,-0.005,0,13.9,0.987,5.713,7.417,90,90,0.1
NpSbO3,Np,Sb,cubic,-1.933,0.82,0.882,15.395,0,4.254,4.254,90,90,2.058
NaReO3,Na,Re,cubic,-1.932,0.007,-0.001,11.534,0,3.863,3.863,90,90,4.339
NbZrO3,Nb,Zr,cubic,-1.931,1.11,0.6,13.905,0,4.112,4.112,90,90,-1.584
CuNpO3,Cu,Np,cubic,-1.931,0.618,0.389,15.268,0,4.242,4.242,90,90,2.687
UReO3,U,Re,cubic,-1.93,0.874,0.637,12.729,0,3.993,3.993,90,90,1.647
MnErO3,Mn,Er,cubic,-1.928,1.079,1.195,15.035,0,4.22,4.22,90,90,-2.457
TmSnO3,Tm,Sn,cubic,-1.928,0.945,0.001,13.69,0,4.091,4.091,90,90,2.161
CoTaO3,Co,Ta,cubic,-1.928,0.549,0.482,12.331,0,3.951,3.951,90,90,3.834
ThPdO3,Th,Pd,cubic,-1.925,0.877,0,13.1,0,4.031,4.031,90,90,0.306
TcHfO3,Tc,Hf,cubic,-1.925,0.888,1,13.507,0.925,4.072,4.072,90,90,1.949
RhPrO3,Rh,Pr,orthorhombic,-1.925,0.39,-0.001,13.917,0.344,5.542,8.498,90,90,-6.823
SmAgO3,Sm,Ag,orthorhombic,-1.924,0.039,0,13.064,0,5.524,7.871,90,90,-0.168
MgMoO3,Mg,Mo,cubic,-1.924,0.597,0.001,11.972,0,3.912,3.912,90,90,3.429
PrKO3,Pr,K,orthorhombic,-1.922,0.447,0.4,19.251,0,6.21,9.813,90,90,-3.324
CuThO3,Cu,Th,cubic,-1.922,0.943,-0.029,17.768,0,4.462,4.462,90,90,-1.294
ZrBO3,Zr,B,cubic,-1.921,1.162,0,7.996,0,3.419,3.419,90,90,4.306
LiReO3,Li,Re,rhombohedral,-1.921,0.067,0.003,10.067,0,5.309,5.309,57.9,57.9,3.622
PmAgO3,Pm,Ag,orthorhombic,-1.92,0.031,0,13.176,0,5.547,7.895,90,90,-0.098
PbSmO3,Pb,Sm,cubic,-1.919,0.548,-0.008,17.381,0,4.429,4.429,90,90,-1.183
NbGaO3,Nb,Ga,orthorhombic,-1.916,0.429,0.4,10.56,0,5.317,7.241,90,90,-0.13
SbTmO3,Sb,Tm,cubic,-1.915,0.841,0,15.13,0,4.229,4.229,90,90,-2.008
PuSbO3,Pu,Sb,cubic,-1.915,0.692,1.151,14.979,0,4.215,4.215,90,90,0.475
AgTiO3,Ag,Ti,orthorhombic,-1.915,0.137,0.006,11.01,0,5.41,7.512,90,90,-0.16
RuCeO3,Ru,Ce,orthorhombic,-1.915,0.415,0.002,14.222,0,5.797,8.318,90,90,-7.543
PaHgO3,Pa,Hg,orthorhombic,-1.915,0.26,0.2,15.677,0.68,5.699,8.868,90,90,-2.774
NdSbO3,Nd,Sb,cubic,-1.914,0.764,0,15.219,0,4.238,4.238,90,90,1.8
AcRbO3,Ac,Rb,orthorhombic,-1.914,0.444,0,20.923,0.599,5.98,11.491,90,90,-2.002
SiThO3,Si,Th,cubic,-1.914,1.568,0,18.723,0,4.541,4.541,90,90,1.893
TeZrO3,Te,Zr,cubic,-1.913,0.66,0,14.536,0,4.173,4.173,90,90,1.661
CrVO3,Cr,V,cubic,-1.913,0.643,0.89,10.584,0,3.754,3.754,90,90,1.672
BiGdO3,Bi,Gd,cubic,-1.912,0.721,0,16.64,0,4.366,4.366,90,90,-1.812
ThSnO3,Th,Sn,cubic,-1.912,1.245,0.002,14.743,0,4.193,4.193,90,90,-0.453
TaPbO3,Ta,Pb,rhombohedral,-1.911,0.544,0,15.337,0,5.603,5.603,71.4,71.4,-1.098
YAsO3,Y,As,cubic,-1.911,0.751,0,12.728,0,3.992,3.992,90,90,2.181
YReO3,Y,Re,cubic,-1.911,0.761,0.161,12.3,0,3.947,3.947,90,90,0.414
SnYO3,Sn,Y,cubic,-1.911,0.922,0,16.31,0,4.336,4.336,90,90,-2.492
RuEuO3,Ru,Eu,rhombohedral,-1.91,0.35,0.4,14.555,0.235,5.794,5.794,62.6,62.6,-10.44
HfTaO3,Hf,Ta,cubic,-1.91,1.27,0.318,12.648,0,3.984,3.984,90,90,0.687
DyRuO3,Dy,Ru,cubic,-1.91,0.585,0.128,11.963,0,3.911,3.911,90,90,0.667
LiHoO3,Li,Ho,cubic,-1.91,0.709,0.4,16.131,0,4.321,4.321,90,90,-1.927
EuZnO3,Eu,Zn,rhombohedral,-1.909,0.109,-0.011,11.16,0,5.295,5.295,62.8,62.8,-0.55
NdSrO3,Nd,Sr,cubic,-1.908,1.143,0,16.974,0,4.395,4.395,90,90,-2.383
InTmO3,In,Tm,cubic,-1.908,0.98,-0.106,15.23,0,4.239,4.239,90,90,-3.852
FeSiO3,Fe,Si,cubic,-1.908,0.594,0.8,8.664,0,3.512,3.512,90,90,3.687
TbKO3,Tb,K,orthorhombic,-1.907,0.45,0.4,18.124,0,5.962,10.114,90,90,-3.824
PdHfO3,Pd,Hf,cubic,-1.905,0.658,0.394,13.454,0,4.067,4.067,90,90,-0.19
DyReO3,Dy,Re,cubic,-1.905,0.788,0.162,12.263,0,3.943,3.943,90,90,0.216
TbSnO3,Tb,Sn,cubic,-1.904,0.811,0,13.819,0,4.103,4.103,90,90,2.278
SrCoO3,Sr,Co,orthorhombic,-1.904,0.014,0.629,11.426,0,5.398,7.835,90,90,0.687
YRuO3,Y,Ru,cubic,-1.904,0.57,0.137,12.018,0,3.917,3.917,90,90,0.774
TaHgO3,Ta,Hg,orthorhombic,-1.903,0.379,0,16.518,0,5.517,9.48,90,90,-8.894
NdAgO3,Nd,Ag,orthorhombic,-1.903,0.076,0,13.295,0,5.569,7.969,90,90,0.039
LaBiO3,La,Bi,cubic,-1.9,0.693,0,17.183,0,4.413,4.413,90,90,1.98
SnGdO3,Sn,Gd,cubic,-1.899,0.94,-0.195,16.51,0,4.354,4.354,90,90,-2.574
SbPuO3,Sb,Pu,cubic,-1.897,0.709,0.769,16.637,0,4.365,4.365,90,90,1.714
CeKO3,Ce,K,orthorhombic,-1.897,0.441,0.4,19.506,0,6.267,9.772,90,90,-3.194
PbPmO3,Pb,Pm,cubic,-1.897,0.559,-0.001,17.646,0,4.452,4.452,90,90,-1.241
EuNiO3,Eu,Ni,orthorhombic,-1.895,0,0,10.519,0,5.28,7.537,90,90,0.409
RhCeO3,Rh,Ce,orthorhombic,-1.895,0.393,0,14.211,0.48,5.604,8.537,90,90,-6.947
RhCeO3,Rh,Ce,orthorhombic,-1.895,0.393,0,14.211,0.48,5.604,8.537,90,90,-6.947
MoHfO3,Mo,Hf,cubic,-1.894,1.056,0.8,13.424,0,4.064,4.064,90,90,0.47
RuYbO3,Ru,Yb,orthorhombic,-1.893,0.353,0.042,12.353,0,5.422,7.848,90,90,-9.221
TiHoO3,Ti,Ho,cubic,-1.892,1.606,0.2,15.103,0,4.227,4.227,90,90,-4.886
ThAsO3,Th,As,cubic,-1.892,1.132,0,13.529,0,4.075,4.075,90,90,1.662
NaPmO3,Na,Pm,cubic,-1.892,0.526,0.4,18.161,0,4.495,4.495,90,90,-1.436
SbCrO3,Sb,Cr,orthorhombic,-1.891,0.139,0.6,11.448,0.811,5.272,7.647,90,90,2.906
IrAcO3,Ir,Ac,rhombohedral,-1.891,0.378,0,15.782,0.302,5.783,5.783,67.2,67.2,-9.665
ThCdO3,Th,Cd,cubic,-1.89,1.147,0,14.427,0,4.163,4.163,90,90,0.436
NpPdO3,Np,Pd,cubic,-1.89,0.596,0.795,12.79,0,3.999,3.999,90,90,0.725
V2O3,V,V,cubic,-1.888,0.743,0.8,10.683,0,3.766,3.766,90,90,0.598
PaPrO3,Pa,Pr,cubic,-1.888,1.294,0.398,18.213,0,4.499,4.499,90,90,0.29
TiAgO3,Ti,Ag,orthorhombic,-1.888,0.164,-0.001,12.473,0,5.172,8.798,90,90,-6.839
CaCoO3,Ca,Co,rhombohedral,-1.885,0.037,0.576,10.255,0,5.197,5.197,61.5,61.5,0.72
HoRuO3,Ho,Ru,cubic,-1.885,0.622,0.13,11.932,0,3.907,3.907,90,90,0.556
ZrPaO3,Zr,Pa,cubic,-1.884,1.226,0.591,16.831,0,4.382,4.382,90,90,1.995
PmSbO3,Pm,Sb,cubic,-1.884,0.744,0,15.117,0,4.228,4.228,90,90,1.667
EuPdO3,Eu,Pd,orthorhombic,-1.884,-0.09,0,11.872,0.454,5.416,7.747,90,90,0.085
URhO3,U,Rh,cubic,-1.883,0.72,0.57,12.518,0,3.97,3.97,90,90,0.54
MnHoO3,Mn,Ho,cubic,-1.883,1.113,0.974,15.22,0,4.238,4.238,90,90,-2.667
GeNpO3,Ge,Np,cubic,-1.883,0.91,0.569,15.992,0,4.308,4.308,90,90,1.405
HoAsO3,Ho,As,cubic,-1.881,0.815,0,12.658,0,3.985,3.985,90,90,2.079
CdLuO3,Cd,Lu,cubic,-1.88,0.595,0.201,14.805,0,4.199,4.199,90,90,-1.984
LuSnO3,Lu,Sn,cubic,-1.88,0.996,0.001,13.655,0,4.087,4.087,90,90,2.179
HoReO3,Ho,Re,cubic,-1.879,0.86,0.163,12.242,0,3.941,3.941,90,90,0.068
ZrSmO3,Zr,Sm,cubic,-1.879,1.63,0.2,16.665,0,4.368,4.368,90,90,-3.259
CeAgO3,Ce,Ag,orthorhombic,-1.877,-0.004,0,13.692,0,5.635,8.062,90,90,0.331
SbTaO3,Sb,Ta,cubic,-1.877,0.578,0.001,13.246,0,4.046,4.046,90,90,3.272
VTmO3,V,Tm,cubic,-1.875,1.417,0.4,14.819,0,4.2,4.2,90,90,-5.136
BiNbO3,Bi,Nb,orthorhombic,-1.874,0.381,0.001,13.278,0,5.64,8.246,90,90,4.001
MgTbO3,Mg,Tb,cubic,-1.874,1.094,0.2,15.697,0,4.282,4.282,90,90,-2.742
YbNiO3,Yb,Ni,orthorhombic,-1.873,0.027,0,9.982,0,5.126,7.323,90,90,-0.017
HgScO3,Hg,Sc,orthorhombic,-1.871,0.214,0.2,12.593,0,5.518,8.001,90,90,-1.961
CrTmO3,Cr,Tm,cubic,-1.871,1.358,0.591,15.307,0,4.246,4.246,90,90,-4.111
PmSrO3,Pm,Sr,cubic,-1.871,1.204,-0.001,16.873,0,4.386,4.386,90,90,-2.806
NbAgO3,Nb,Ag,orthorhombic,-1.87,0.182,0,14.047,1.521,5.571,8.565,90,90,-8.804
PdLaO3,Pd,La,orthorhombic,-1.869,0.334,0,14.471,0,5.815,8.256,90,90,-5.572
AlScO3,Al,Sc,cubic,-1.867,1.669,-0.012,12.556,0,3.974,3.974,90,90,-4.725
NbCdO3,Nb,Cd,orthorhombic,-1.867,0.385,0.169,12.805,0,5.648,7.718,90,90,-9.563
InErO3,In,Er,cubic,-1.866,1.004,-0.116,15.493,0,4.263,4.263,90,90,-4.052
SbErO3,Sb,Er,cubic,-1.864,0.874,0,15.416,0,4.256,4.256,90,90,-2.358
CeHgO3,Ce,Hg,orthorhombic,-1.863,0.079,0,15.068,0,5.723,8.102,90,90,-0.095
HgNbO3,Hg,Nb,tetragonal,-1.862,0.215,0,13.185,0,3.985,4.152,90,90,2.488
ErRuO3,Er,Ru,cubic,-1.86,0.658,0.133,11.897,0,3.904,3.904,90,90,0.413
PbNdO3,Pb,Nd,cubic,-1.859,0.572,0.202,17.985,0,4.48,4.48,90,90,-1.161
HfBO3,Hf,B,cubic,-1.859,1.335,0,7.852,0,3.399,3.399,90,90,3.519
LiYO3,Li,Y,cubic,-1.858,0.728,0.4,16.658,0,4.367,4.367,90,90,-2.006
LaPbO3,La,Pb,cubic,-1.856,0.617,0,16.312,0,4.337,4.337,90,90,1.344
SrRhO3,Sr,Rh,orthorhombic,-1.856,-0.006,0.2,12.33,0,5.553,7.882,90,90,1.774
AuHfO3,Au,Hf,cubic,-1.855,0.542,-0.192,13.693,0,4.091,4.091,90,90,-0.207
SmSbO3,Sm,Sb,cubic,-1.855,0.86,0,15.066,0,4.223,4.223,90,90,1.586
ErAsO3,Er,As,cubic,-1.854,0.817,0,12.618,0,3.981,3.981,90,90,2.013
HfSiO3,Hf,Si,cubic,-1.854,1.383,0.097,9.46,0,3.616,3.616,90,90,2.102
CoSiO3,Co,Si,cubic,-1.853,0.515,0.599,8.646,1.149,3.51,3.51,90,90,3.962
NaNdO3,Na,Nd,cubic,-1.853,0.553,0.4,18.518,0,4.524,4.524,90,90,-1.499
ErReO3,Er,Re,cubic,-1.852,0.865,0.161,12.22,0,3.939,3.939,90,90,-0.079
CoThO3,Co,Th,cubic,-1.851,1.188,0.584,18.647,0,4.534,4.534,90,90,1.599
MnDyO3,Mn,Dy,cubic,-1.85,1.135,0.96,15.447,0,4.259,4.259,90,90,-2.742
PrOsO3,Pr,Os,cubic,-1.849,0.504,0.002,12.572,0,3.976,3.976,90,90,1.225
PtAcO3,Pt,Ac,orthorhombic,-1.849,0.289,0,15.994,0,5.963,8.342,90,90,-7.392
YRhO3,Y,Rh,cubic,-1.848,0.523,0,12.035,0,3.919,3.919,90,90,-0.064
HfGdO3,Hf,Gd,cubic,-1.847,1.798,0.171,15.785,0,4.289,4.289,90,90,-7.69
LiTcO3,Li,Tc,rhombohedral,-1.847,-0.017,0.125,9.911,0,5.284,5.284,57.8,57.8,3.041
CrLuO3,Cr,Lu,cubic,-1.847,1.386,0.798,14.807,0,4.199,4.199,90,90,-4.685
TiDyO3,Ti,Dy,cubic,-1.846,1.64,0.207,15.29,0,4.244,4.244,90,90,-5.191
NpOsO3,Np,Os,cubic,-1.846,0.728,0.806,12.609,0,3.98,3.98,90,90,0.907
TlWO3,Tl,W,cubic,-1.845,0.111,0,12.807,0,4.001,4.001,90,90,4.966
VCdO3,V,Cd,orthorhombic,-1.843,0.19,0.2,12.529,0.206,5.335,8.671,90,90,-7.137
NaTcO3,Na,Tc,cubic,-1.843,-0.249,-0.001,11.372,0,3.845,3.845,90,90,3.629
SiTaO3,Si,Ta,cubic,-1.842,0.937,0.001,12.639,0,3.983,3.983,90,90,4.52
BaCoO3,Ba,Co,orthorhombic,-1.842,0.111,0.673,12.761,0,5.642,8.012,90,90,0.663
PaSiO3,Pa,Si,cubic,-1.841,0.981,0.481,11.147,0,3.82,3.82,90,90,1.99
GaWO3,Ga,W,cubic,-1.84,0.19,0,12.222,0,3.939,3.939,90,90,5.257
LiGdO3,Li,Gd,cubic,-1.839,0.739,0.398,16.926,0,4.39,4.39,90,90,-2.036
SrIrO3,Sr,Ir,orthorhombic,-1.838,0.025,0.048,12.424,0,5.55,7.891,90,90,1.995
PdAcO3,Pd,Ac,orthorhombic,-1.838,0.334,0,15.784,0,5.948,8.599,90,90,-4.68
InHoO3,In,Ho,cubic,-1.837,1.022,-0.125,15.704,0,4.282,4.282,90,90,-4.168
CrNaO3,Cr,Na,orthorhombic,-1.835,0.178,0.199,12.402,1.077,5.219,9.089,90,90,-8.454
HfGaO3,Hf,Ga,cubic,-1.833,1.171,0.006,10.587,0,3.755,3.755,90,90,2.16
SbNpO3,Sb,Np,cubic,-1.832,0.921,0.531,17.095,0,4.405,4.405,90,90,-0.044
KTcO3,K,Tc,cubic,-1.832,-0.048,0,11.898,0,3.904,3.904,90,90,3.877
TmRuO3,Tm,Ru,cubic,-1.832,0.704,0.135,11.851,0,3.899,3.899,90,90,0.27
HoRhO3,Ho,Rh,cubic,-1.831,0.573,0,11.935,0,3.908,3.908,90,90,-0.263
CdTmO3,Cd,Tm,cubic,-1.83,0.631,0.202,15.144,0,4.231,4.231,90,90,-2.166
NdOsO3,Nd,Os,cubic,-1.83,0.551,0.002,12.488,0,3.967,3.967,90,90,1.019
LiCrO3,Li,Cr,orthorhombic,-1.83,0.232,0.2,8.687,0,4.857,7.049,90,90,-0.06
BiTbO3,Bi,Tb,cubic,-1.83,0.688,0,16.361,0,4.341,4.341,90,90,-1.455
PdPmO3,Pd,Pm,orthorhombic,-1.829,0.331,0,13.745,0,5.695,8.13,90,90,-5.166
